A1,18.99993956,72.0008224534,17.4189912398
Z1,18.9998941351,72.0007156873,17.466541824300002
B1,19.0002075686,71.99977196,12.2690667075
Z3,19.0003613122,71.9997695902,11.0204520798
C3,19.0004347735,71.9999818783,16.6052727343
Z2,19.0004276977,72.0002075351,13.341668663
B3,19.0009116678,72.00049695,16.605268543
Y2,19.0009015106,72.00064259310001,16.605266559300002
A2,19.0009179379,72.0008527191,9.75525048961
X3,19.0010346854,72.00092174640001,22.105252430500002
C2,18.999851479300002,71.9994007479,13.7574172348
X1,18.999856787,71.9997186648,13.7547231293
A3,19.0002254548,72.00133821819999,9.75524994407
Y3,18.999937967,72.0011821588,12.9219155884
C1,19.0000249789,72.0005295595,22.105257568400003
X2,18.9999307555,72.00095708949999,13.0249372101
B2,18.9986637035,71.998604634,18.583897171
Y1,18.9986368922,71.9987260147,13.752231178299999
